Date,Price
09/12/2017,229.4
10/12/2017,229.4
11/12/2017,230.5
12/12/2017,400.1
13/12/2017,230.9
14/12/2017,229.7
15/12/2017,230
16/12/2017,230
17/12/2017,230
18/12/2017,231.35
19/12/2017,233.05
20/12/2017,232
21/12/2017,235.45
22/12/2017,235.9
23/12/2017,235.9
24/12/2017,235.9
25/12/2017,235.9
26/12/2017,235.9
27/12/2017,234.2
28/12/2017,234.3
29/12/2017,235
30/12/2017,235
31/12/2017,235
01/01/2018,235
02/01/2018,233.8
03/01/2018,233.45
04/01/2018,235.3
05/01/2018,236.8
06/01/2018,236.8
07/01/2018,236.8
08/01/2018,237.65
09/01/2018,238
10/01/2018,232.6
11/01/2018,228.45
12/01/2018,229.35
13/01/2018,229.35
14/01/2018,229.35
15/01/2018,228
16/01/2018,231.05
17/01/2018,227.65
18/01/2018,226
19/01/2018,225.8
20/01/2018,225.8
21/01/2018,225.8
22/01/2018,227.35
23/01/2018,228.35
24/01/2018,225.3
25/01/2018,224.4
26/01/2018,225.6
27/01/2018,225.6
28/01/2018,225.6
29/01/2018,226.35
30/01/2018,224.4
31/01/2018,224.6
01/02/2018,214.4
02/02/2018,219.5
03/02/2018,219.5
04/02/2018,219.5
05/02/2018,210.7
06/02/2018,205.3
07/02/2018,210
08/02/2018,203.65
09/02/2018,201.8
10/02/2018,201.8
11/02/2018,201.8
12/02/2018,202.2
13/02/2018,200.6
14/02/2018,199.74
15/02/2018,199.86
16/02/2018,204.65
17/02/2018,204.65
18/02/2018,204.65
19/02/2018,203.55
20/02/2018,203
21/02/2018,202.4
22/02/2018,201.85
23/02/2018,203.85
24/02/2018,203.85
25/02/2018,203.85
26/02/2018,205.55
27/02/2018,204.8
28/02/2018,203.75
01/03/2018,202.35
02/03/2018,199.02
03/03/2018,199.02
04/03/2018,199.02
05/03/2018,202.3
06/03/2018,203.4
07/03/2018,204.5
08/03/2018,207.6
09/03/2018,207
10/03/2018,207
11/03/2018,207
12/03/2018,207.2
13/03/2018,202.9
14/03/2018,202.4
15/03/2018,201.4
16/03/2018,201.5
17/03/2018,201.5
18/03/2018,201.5
19/03/2018,198.64
20/03/2018,196.74
21/03/2018,196.82
22/03/2018,192.36
23/03/2018,193.62
24/03/2018,193.62
25/03/2018,193.62
26/03/2018,190.9
27/03/2018,193.84
28/03/2018,193.88
29/03/2018,194.22
30/03/2018,194.22
31/03/2018,194.22
01/04/2018,194.22
02/04/2018,194.22
03/04/2018,193.9
04/04/2018,197.22
05/04/2018,203.65
06/04/2018,204
07/04/2018,204
08/04/2018,204
09/04/2018,203.65
10/04/2018,205.6
11/04/2018,206.3
12/04/2018,207.35
13/04/2018,206.85
14/04/2018,206.85
15/04/2018,206.85
16/04/2018,206.6
17/04/2018,206.5
18/04/2018,206.8
19/04/2018,206.65
20/04/2018,210
21/04/2018,210
22/04/2018,210
23/04/2018,213.95
24/04/2018,212.4
25/04/2018,209.05
26/04/2018,211.8
27/04/2018,210.55
28/04/2018,210.55
29/04/2018,210.55
30/04/2018,211.6
01/05/2018,210.5
02/05/2018,212.65
03/05/2018,208.95
04/05/2018,210.5
05/05/2018,210.5
06/05/2018,210.5
07/05/2018,210.5
08/05/2018,207.55
09/05/2018,208.7
10/05/2018,210.1
11/05/2018,210.1
12/05/2018,210.1
13/05/2018,210.1
14/05/2018,207.2
15/05/2018,198.38
16/05/2018,195.76
17/05/2018,196.04
18/05/2018,193.18
19/05/2018,193.18
20/05/2018,193.18
21/05/2018,195.28
22/05/2018,199.14
23/05/2018,197.42
24/05/2018,194.86
25/05/2018,195.04
26/05/2018,195.04
27/05/2018,195.04
28/05/2018,195.04
29/05/2018,192.8
30/05/2018,194.88
31/05/2018,191.82
01/06/2018,194.92
02/06/2018,194.92
03/06/2018,194.92
04/06/2018,198
05/06/2018,195.14
06/06/2018,196.62
07/06/2018,187.52
08/06/2018,187.48
09/06/2018,187.48
10/06/2018,187.48
11/06/2018,189.24
12/06/2018,188.5
13/06/2018,185.6
14/06/2018,0
15/06/2018,184.8
16/06/2018,184.8
17/06/2018,184.8
18/06/2018,185.1
19/06/2018,185.84
20/06/2018,186.24
21/06/2018,184.4
22/06/2018,187.28
23/06/2018,187.28
24/06/2018,187.28
25/06/2018,184.18
26/06/2018,182.58
27/06/2018,183.74
28/06/2018,183.56
29/06/2018,183.82
30/06/2018,183.82
01/07/2018,183.82
02/07/2018,182.64
03/07/2018,186
04/07/2018,187.8
05/07/2018,187.64
06/07/2018,191
07/07/2018,191
08/07/2018,191
09/07/2018,190.08
10/07/2018,189
11/07/2018,183.14
12/07/2018,182.56
13/07/2018,181.5
14/07/2018,181.5
15/07/2018,181.5
16/07/2018,180.86
17/07/2018,180
18/07/2018,179.9
19/07/2018,178.24
20/07/2018,177.64
21/07/2018,177.64
22/07/2018,177.64
23/07/2018,178
24/07/2018,177.66
25/07/2018,175.1
26/07/2018,177.1
27/07/2018,180
28/07/2018,180
29/07/2018,180
30/07/2018,186.5
31/07/2018,186
01/08/2018,184.36
02/08/2018,0
03/08/2018,184.8
04/08/2018,184.8
05/08/2018,184.8
06/08/2018,186.12
07/08/2018,186.5
08/08/2018,186.72
09/08/2018,185.36
10/08/2018,182.52
11/08/2018,182.52
12/08/2018,182.52
13/08/2018,181.02
14/08/2018,178.78
15/08/2018,175.02
16/08/2018,177
17/08/2018,175.78
18/08/2018,175.78
19/08/2018,175.78
20/08/2018,176.6
21/08/2018,176.14
22/08/2018,175.7
23/08/2018,175.94
24/08/2018,175.28
25/08/2018,500
26/08/2018,175.28
27/08/2018,175.28
28/08/2018,175.2
29/08/2018,172.94
30/08/2018,167.52
31/08/2018,164.5
01/09/2018,164.5
02/09/2018,164.5
03/09/2018,166.54
04/09/2018,164.3
05/09/2018,162.9
06/09/2018,164
07/09/2018,165.26
08/09/2018,165.26
09/09/2018,165.26
10/09/2018,165.7
11/09/2018,166.2
12/09/2018,166.58
13/09/2018,168.28
14/09/2018,167.44
15/09/2018,167.44
16/09/2018,175.19
17/09/2018,168.08
18/09/2018,168.92
19/09/2018,168.82
20/09/2018,168.06
21/09/2018,170.94
22/09/2018,170.94
23/09/2018,170.94
24/09/2018,170
25/09/2018,168.74
26/09/2018,166.94
27/09/2018,168.14
28/09/2018,164.5
29/09/2018,164.5
30/09/2018,164.5
01/10/2018,162
02/10/2018,159.88
03/10/2018,162.48
04/10/2018,162.14
05/10/2018,160.22
06/10/2018,160.22
07/10/2018,160.22
08/10/2018,154.58
09/10/2018,150.72
10/10/2018,153
11/10/2018,150.98
12/10/2018,151
13/10/2018,151
14/10/2018,151
15/10/2018,153.6
16/10/2018,153.4
17/10/2018,152.04
18/10/2018,151.5
19/10/2018,152.46
20/10/2018,152.46
21/10/2018,152.46
22/10/2018,149.56
23/10/2018,146.24
24/10/2018,146.42
25/10/2018,146.6
26/10/2018,144.04
27/10/2018,144.04
28/10/2018,144.04
29/10/2018,147.28
30/10/2018,147.06
31/10/2018,147.82
01/11/2018,151.5
02/11/2018,150.52
03/11/2018,150.52
04/11/2018,150.52
05/11/2018,150.4
06/11/2018,146.28
07/11/2018,147.88
08/11/2018,147.08
09/11/2018,143.92
10/11/2018,343.92
11/11/2018,343.92
12/11/2018,344.36
13/11/2018,355.6
14/11/2018,357.56
15/11/2018,355.4
16/11/2018,353.4
17/11/2018,353.4
18/11/2018,353.4
19/11/2018,355.82
20/11/2018,353.62
21/11/2018,358.04
22/11/2018,352
23/11/2018,355.12
24/11/2018,355.12
25/11/2018,355.12
26/11/2018,364.82
27/11/2018,367.8
28/11/2018,368.68
29/11/2018,367.76
30/11/2018,368.94
01/12/2018,368.94
02/12/2018,368.94
03/12/2018,340
04/12/2018,365.14
05/12/2018,363
06/12/2018,360.46
07/12/2018,362.78
08/12/2018,362.78
09/12/2018,362.78
10/12/2018,359.32
11/12/2018,362.5
12/12/2018,363.1
13/12/2018,360.48
14/12/2018,360.68
15/12/2018,360.68
16/12/2018,360.68
17/12/2018,360.7
18/12/2018,357.86
19/12/2018,359.46
20/12/2018,359.96
21/12/2018,356.74
22/12/2018,356.74
23/12/2018,356.74
24/12/2018,354.5
25/12/2018,354.5
26/12/2018,354.5
27/12/2018,351.52
28/12/2018,390
29/12/2018,354.58
30/12/2018,354.58
31/12/2018,352.9
01/01/2019,352.9
02/01/2019,354.94
03/01/2019,356.06
04/01/2019,357.98
05/01/2019,340
06/01/2019,357.98
07/01/2019,357.4
08/01/2019,355.6
09/01/2019,352.8
10/01/2019,353.74
11/01/2019,352.84
12/01/2019,352.84
13/01/2019,352.84
14/01/2019,349.2
15/01/2019,348.64
16/01/2019,348.2
17/01/2019,348.32
18/01/2019,349.34
19/01/2019,349.34
20/01/2019,349.34
21/01/2019,349.16
22/01/2019,348.16
23/01/2019,349.26
24/01/2019,344.04
25/01/2019,337
26/01/2019,337
27/01/2019,337
28/01/2019,335.44
29/01/2019,335.08
30/01/2019,336.7
31/01/2019,338.58
01/02/2019,338.84
02/02/2019,338.84
03/02/2019,338.84
04/02/2019,338.1
05/02/2019,341.06
06/02/2019,342.4
07/02/2019,339.38
08/02/2019,338.68
10/02/2019,478.25
11/02/2019,341.1
12/02/2019,339.64
13/02/2019,339.36
14/02/2019,339.64
15/02/2019,341.2
16/02/2019,341.2
17/02/2019,341.2
18/02/2019,342.14
19/02/2019,341.5
20/02/2019,342.38
21/02/2019,341.2
22/02/2019,341.8
23/02/2019,341.8
24/02/2019,341.8
25/02/2019,339.6
26/02/2019,336.6
27/02/2019,333.6
28/02/2019,334.28
01/03/2019,334.24
02/03/2019,334.24
03/03/2019,334.24
04/03/2019,331.36
05/03/2019,333.98
06/03/2019,333.96
07/03/2019,335.62
08/03/2019,336.8
09/03/2019,336.8
10/03/2019,336.8
11/03/2019,338.96
12/03/2019,339.4
13/03/2019,339.4
14/03/2019,340.16
15/03/2019,34300.56
16/03/2019,343.56
17/03/2019,343.56
18/03/2019,344.16
19/03/2019,345.58
20/03/2019,345.54
21/03/2019,346.76
22/03/2019,344.26
23/03/2019,344.26
24/03/2019,344.26
25/03/2019,341.68
26/03/2019,342.34
27/03/2019,340.8
28/03/2019,338.76
29/03/2019,339.8
30/03/2019,339.8
31/03/2019,339.8
01/04/2019,341.88
02/04/2019,342.2
03/04/2019,343.68
04/04/2019,344.46
05/04/2019,341.34
06/04/2019,341.34
07/04/2019,341.34
08/04/2019,340.56
09/04/2019,340.52
10/04/2019,339.84
11/04/2019,338.1
12/04/2019,340.54
13/04/2019,340.54
14/04/2019,340.54
15/04/2019,342.5
16/04/2019,342.6
17/04/2019,343.72
18/04/2019,342.56
19/04/2019,342.56
20/04/2019,342.56
21/04/2019,342.56
22/04/2019,342.56
23/04/2019,341.62
24/04/2019,339.86
25/04/2019,339.62
26/04/2019,341.92
27/04/2019,341.92
28/04/2019,341.92
29/04/2019,343.36
30/04/2019,342
01/05/2019,341.14
02/05/2019,341.04
03/05/2019,340.06
04/05/2019,340.06
05/05/2019,340.06
06/05/2019,340.06
07/05/2019,340
08/05/2019,340.1
09/05/2019,338.5
10/05/2019,339
11/05/2019,339
12/05/2019,240
13/05/2019,331.78
14/05/2019,326.84
15/05/2019,326
16/05/2019,324.86
17/05/2019,324.28
18/05/2019,324.28
19/05/2019,324.28
20/05/2019,326.4
21/05/2019,326.02
22/05/2019,325.66
23/05/2019,323.32
24/05/2019,326.1
25/05/2019,326.1
26/05/2019,326.1
27/05/2019,326.1
28/05/2019,327.12
29/05/2019,329.3
30/05/2019,329.94
31/05/2019,329.42
01/06/2019,329.42
02/06/2019,329.42
03/06/2019,329.96
04/06/2019,333.68
05/06/2019,333.1
06/06/2019,327.98
07/06/2019,329.9
08/06/2019,329.9
09/06/2019,329.9
10/06/2019,330.4
11/06/2019,330.18
12/06/2019,329.34
13/06/2019,329.04
14/06/2019,328.02
15/06/2019,328.02
16/06/2019,328.02
17/06/2019,327.46
18/06/2019,329.18
19/06/2019,327.2
20/06/2019,328.34
21/06/2019,326.9
22/06/2019,326.9
23/06/2019,326.9
24/06/2019,326.24
25/06/2019,324.24
26/06/2019,325.76
27/06/2019,328.66
28/06/2019,329.32
29/06/2019,329.32
30/06/2019,329.32
01/07/2019,327.94
02/07/2019,328.76
03/07/2019,331.42
04/07/2019,332.92
05/07/2019,334.64
06/07/2019,200.05
07/07/2019,334.64
08/07/2019,333.78
09/07/2019,333.82
10/07/2019,299.41
11/07/2019,332.5
12/07/2019,331.74
13/07/2019,331.74
14/07/2019,331.74
15/07/2019,330.2
16/07/2019,131.2
