"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 18","95.08","94.36","96.86","94.29","461.68K","0.85%"
"Jul 18","94.28","94.30","95.44","93.44","412.48K","-0.07%"
"Jun 18","94.35","93.96","95.25","93.18","446.09K","0.42%"
"May 18","93.96","91.62","94.97","91.59","601.07K","2.54%"
"Apr 18","91.63","89.68","91.79","88.94","478.85K","2.03%"
"Mar 18","89.81","90.66","90.89","88.53","512.74K","-0.82%"
"Feb 18","90.55","88.94","90.65","88.15","538.70K","1.80%"
"Jan 18","88.95","91.89","92.36","88.25","591.43K","-3.14%"
"Dec 17","91.83","92.91","94.21","91.81","367.70K","-1.26%"
"Nov 17","93.00","94.42","95.07","92.43","413.81K","-1.51%"
"Oct 17","94.43","92.97","95.06","92.59","477.95K","1.67%"
"Sep 17","92.88","92.60","93.50","90.99","609.56K","0.27%"
"Aug 17","92.63","92.81","94.06","91.55","579.14K","-0.10%"
"Jul 17","92.72","95.41","96.25","92.64","456.92K","-2.83%"
"Jun 17","95.42","96.95","97.56","95.22","530.87K","-1.48%"
"May 17","96.85","98.93","99.77","96.70","593.68K","-2.07%"
"Apr 17","98.90","100.41","101.27","98.56","469.32K","-1.32%"
"Mar 17","100.22","101.47","102.27","98.67","706.02K","-0.90%"
"Feb 17","101.13","99.58","101.75","99.19","673.84K","1.66%"
"Jan 17","99.48","102.81","103.81","99.40","888.32K","-2.75%"
"Dec 16","102.29","101.56","103.62","99.49","719.09K","0.74%"
"Nov 16","101.54","98.39","102.12","95.91","847.10K","3.17%"
"Oct 16","98.42","95.44","99.09","95.39","511.68K","3.18%"
"Sep 16","95.39","96.02","96.31","94.44","459.33K","-0.65%"
"Aug 16","96.01","95.49","96.50","94.05","406.89K","0.54%"
"Jul 16","95.49","95.95","97.62","95.33","404.80K","-0.74%"
"Jun 16","96.20","95.80","96.86","93.03","574.58K","0.33%"
"May 16","95.88","93.00","95.96","91.88","394.72K","3.04%"
"Apr 16","93.05","94.62","95.21","92.97","487.38K","-1.62%"
"Mar 16","94.58","98.20","98.59","94.30","462.49K","-3.71%"
"Feb 16","98.22","99.70","99.75","95.28","580.15K","-1.44%"
"Jan 16","99.65","98.76","99.95","98.11","674.88K","0.91%"
"Dec 15","98.75","100.25","100.60","97.21","656.50K","-1.46%"
"Nov 15","100.21","96.81","100.36","96.71","561.73K","3.29%"
"Oct 15","97.02","96.40","97.89","93.83","647.74K","0.56%"
"Sep 15","96.48","95.89","96.88","94.19","790.53K","0.66%"
"Aug 15","95.85","97.31","98.42","92.52","1.08M","-1.63%"
"Jul 15","97.44","95.80","98.31","95.56","862.37K","1.86%"
"Jun 15","95.66","96.99","97.76","93.30","1.08M","-1.37%"
"May 15","96.99","94.94","97.88","93.16","1.00M","2.41%"
"Apr 15","94.71","98.73","100.27","94.47","1.15M","-4.00%"
"Mar 15","98.66","95.38","100.38","94.77","1.23M","3.50%"
"Feb 15","95.32","94.91","95.44","93.39","647.34K","0.34%"
"Jan 15","95.00","90.81","95.85","90.80","933.32K","4.80%"
"Dec 14","90.65","88.37","90.67","87.81","758.68K","2.53%"
"Nov 14","88.41","87.13","88.52","86.97","717.09K","1.60%"
"Oct 14","87.02","86.05","87.25","84.53","938.40K","1.13%"
"Sep 14","86.05","82.78","86.33","82.69","686.68K","3.95%"
"Aug 14","82.78","81.53","82.79","81.27","434.38K","1.55%"
"Jul 14","81.52","79.84","81.66","79.77","388.36K","2.14%"
"Jun 14","79.81","80.41","81.06","79.80","410.87K","-0.73%"
"May 14","80.40","79.57","80.63","78.93","354.14K","1.09%"
"Apr 14","79.53","80.25","80.77","79.39","319.79K","-0.90%"
"Mar 14","80.25","79.86","80.58","79.28","420.41K","0.66%"
"Feb 14","79.72","81.39","81.42","79.70","377.95K","-2.06%"
"Jan 14","81.40","80.43","81.53","80.22","496.85K","1.51%"
"Dec 13","80.19","80.69","81.02","79.50","392.46K","-0.58%"
"Nov 13","80.66","80.33","81.58","80.32","403.31K","0.50%"
"Oct 13","80.26","80.35","80.86","79.06","402.39K","-0.07%"
"Sep 13","80.32","82.12","82.78","80.11","510.73K","-2.22%"
"Aug 13","82.14","81.76","82.61","80.77","673.43K","0.74%"
"Jul 13","81.54","83.41","84.97","81.48","790.94K","-2.21%"
"Jun 13","83.38","83.36","83.59","80.50","903.74K","-0.02%"
"May 13","83.40","81.74","84.59","81.37","878.96K","1.94%"
"Apr 13","81.81","83.17","83.66","81.64","618.75K","-1.64%"
"Mar 13","83.17","82.01","83.52","81.83","556.18K","1.43%"
"Feb 13","82.00","79.14","82.08","78.92","641.62K","3.50%"
"Jan 13","79.23","79.62","81.00","79.16","579.50K","-0.80%"
"Dec 12","79.87","80.19","80.97","79.02","396.45K","-0.36%"
"Nov 12","80.16","79.99","81.52","79.92","431.74K","0.21%"
"Oct 12","79.99","80.05","80.42","78.97","395.86K","-0.05%"
"Sep 12","80.03","81.21","81.67","78.60","384.62K","-1.47%"
"Aug 12","81.22","82.78","83.61","80.96","414.15K","-1.80%"
"Jul 12","82.71","81.73","84.25","81.66","449.02K","1.17%"
"Jun 12","81.75","83.21","83.67","81.22","628.71K","-1.66%"
"May 12","83.13","78.88","83.30","78.67","669.29K","5.43%"
"Apr 12","78.85","79.03","80.36","78.69","390.03K","-0.37%"
"Mar 12","79.14","78.80","80.72","78.69","506.53K","0.44%"
"Feb 12","78.79","79.48","80.24","78.12","553.78K","-0.79%"
"Jan 12","79.42","80.16","82.05","78.86","425.71K","-1.37%"
"Dec 11","80.52","78.48","81.31","78.06","402.07K","2.59%"
"Nov 11","78.49","76.63","79.88","76.59","530.53K","2.86%"
"Oct 11","76.31","79.44","80.43","74.86","658.66K","-3.50%"
"Sep 11","79.08","74.23","79.64","74.20","711.88K","6.62%"
"Aug 11","74.17","74.13","75.64","73.52","634.35K","0.18%"
"Jul 11","74.04","74.82","77.17","73.58","578.63K","-0.80%"
"Jun 11","74.64","74.53","76.59","73.52","687.92K","-0.08%"
"May 11","74.70","73.19","76.54","72.86","815.51K","2.17%"
"Apr 11","73.11","76.30","76.87","73.02","467.91K","-3.89%"
"Mar 11","76.07","76.86","77.55","75.59","595.87K","-1.11%"
"Feb 11","76.92","77.76","78.98","76.78","407.93K","-1.21%"
"Jan 11","77.86","79.31","81.64","77.67","494.63K","-1.80%"
"Dec 10","79.29","81.33","81.44","79.03","412.78K","-2.44%"
"Nov 10","81.27","77.11","81.53","75.23","576.63K","4.92%"
"Oct 10","77.46","78.99","79.02","75.85","524.89K","-1.87%"
"Sep 10","78.94","83.18","83.27","78.62","466.55K","-5.18%"
"Aug 10","83.25","81.57","83.64","80.17","443.72K","1.95%"
"Jul 10","81.66","86.45","86.55","81.56","414.56K","-5.35%"
"Jun 10","86.28","86.72","88.80","85.36","448.83K","-0.45%"
"May 10","86.67","82.05","87.62","81.87","707.64K","5.71%"
"Apr 10","81.99","81.22","82.87","80.14","456.19K","0.86%"
"Mar 10","81.29","80.53","82.52","79.65","551.28K","1.06%"
