Petition,URL,State,Signatures Count
Protect the Environment – support carbon neutral energy alternatives,https://petition.parliament.uk/petitions/300000,open,1315
Bring Hailsham’s roads back to a their former glory,https://petition.parliament.uk/petitions/300005,rejected,21
Give holiday caravan/lodge owners the same statutory protection as mobile homes.,https://petition.parliament.uk/petitions/300007,open,11948
"Increase the criteria for a successful referendum to require a ""clear majority"".",https://petition.parliament.uk/petitions/300008,rejected,6
Allow conference speakers to be able to speak on a standard visitor visa,https://petition.parliament.uk/petitions/300009,rejected,8
"Fern’s Law: Compulsory to scan & check microchips to reunite stolen dogs, cats.",https://petition.parliament.uk/petitions/300010,open,35380
"Reform the referendum process to avoid ugly divisions, uncertainty & stagnation",https://petition.parliament.uk/petitions/300011,rejected,8
The Static Caravan Holiday Homes Industry needs Legislative Laws in place.,https://petition.parliament.uk/petitions/300012,rejected,10
Parliament to recognise the poor treatment of disabled and vulnerable people.,https://petition.parliament.uk/petitions/300013,rejected,11
The Static Caravan Holiday Homes Industry needs Legislative Laws in place.,https://petition.parliament.uk/petitions/300014,rejected,11
Sol’s Law – Create a new offence and tougher penalties for attacking animals. ,https://petition.parliament.uk/petitions/300015,open,1752
Return the Parthenon Marbles via the establishment of a new independent body,https://petition.parliament.uk/petitions/300016,open,264
Bring the pay scales of Crime Scene Investigators in line with police officers. ,https://petition.parliament.uk/petitions/300018,open,265
Revoke the Health and Social Care Act 2012 and renationalise the NHS,https://petition.parliament.uk/petitions/300019,open,26472
Reverse EU withdrawal,https://petition.parliament.uk/petitions/300020,rejected,10
Prohibit MPs from voting in parliament when under the influence of alcohol,https://petition.parliament.uk/petitions/300021,open,352
Vets to scan prior to euthanasia for Rescue Back up and confirm keeper details,https://petition.parliament.uk/petitions/300025,open,43591
Hold a referendum on the post-2020 UK-EU relationship with option to rejoin EU,https://petition.parliament.uk/petitions/300026,open,5762
Fund research for childhood cancers with the worst survival rates,https://petition.parliament.uk/petitions/300027,open,50625
Repeal the Vagrancy Act of 1824,https://petition.parliament.uk/petitions/300029,open,77
Pay Carers an allowance equivalent to a fulltime job at the National Living wage,https://petition.parliament.uk/petitions/300032,open,15102
"Close the border, to infected nations, to prevent the spread of COVID-19",https://petition.parliament.uk/petitions/300033,rejected,21
Fund Kuvan (sapropterin) on the NHS for people with PKU,https://petition.parliament.uk/petitions/300034,open,18585
Hold a referendum for devolution in the North of England,https://petition.parliament.uk/petitions/300039,open,61
Make it compulsory for all leisure centres to carry out checks under Sarah's law,https://petition.parliament.uk/petitions/300041,open,1333
Introduce Human Trafficking into the secondary school curriculum,https://petition.parliament.uk/petitions/300042,rejected,6
Legal rights for ancient trees,https://petition.parliament.uk/petitions/300050,open,14215
"Require restaurants to show total prices, inclusive of service charges, in menus",https://petition.parliament.uk/petitions/300052,open,101
"Introduce a minimum sentence for carrying a knife, equal to carrying a firearm.",https://petition.parliament.uk/petitions/300054,open,16241
Coroners must be lawfully obligated to statistically record veteran suicides,https://petition.parliament.uk/petitions/300055,open,7786
Allow those who suffer from Coeliac Disease to join the Armed Forces,https://petition.parliament.uk/petitions/300056,open,314
Remove the East Anglia franchise from the Greater Anglia company,https://petition.parliament.uk/petitions/300057,open,331
"New ""UK Person"" status for nationals of countries that prohibit dual nationality",https://petition.parliament.uk/petitions/300058,open,444
Publish the Russia report,https://petition.parliament.uk/petitions/300059,open,76560
Make chronic kidney disease testing available for all new-borns. ,https://petition.parliament.uk/petitions/300061,open,679
Give consumers a statutory right to opt out of receiving paper correspondence,https://petition.parliament.uk/petitions/300064,open,40
Release the report investigating Russian interference into UK politics,https://petition.parliament.uk/petitions/300068,rejected,7
Make the 6 Nations a culturally protected event.,https://petition.parliament.uk/petitions/300069,open,7605
Make pet theft crime a specific offence with custodial sentences.,https://petition.parliament.uk/petitions/300071,open,26107
Increase pay for NHS healthcare workers and recognise their work,https://petition.parliament.uk/petitions/300073,open,161427
"Change the law covering sale of services to preclude ""automatic renewal clause""",https://petition.parliament.uk/petitions/300074,open,123
Hold an inquiry into how the police handle historic sexual abuse cases.,https://petition.parliament.uk/petitions/300075,open,516
"Regulate wildlife food so it’s safer for our UK hedgehogs, mammals & birds",https://petition.parliament.uk/petitions/300077,open,1502
No capital gains tax on money used for social care fees,https://petition.parliament.uk/petitions/300078,open,13
Reduce student debt for student nurses and midwives,https://petition.parliament.uk/petitions/300079,open,5364
The creation of a Digital Data Dividend,https://petition.parliament.uk/petitions/300080,rejected,9
Keep list of basic details of Coronavirus confirmed cases in public domain.,https://petition.parliament.uk/petitions/300081,rejected,7
Subject all mature trees to Tree Preservation Orders.,https://petition.parliament.uk/petitions/300085,rejected,9
