,,,,,,,
,,,,,,Company,Share of e-commerce sales
,Web,Avg monthly traffic,Traffic Share,,1,Amazon,49.10%
1,Amazon.com,1.87E+09,54.12%,,2,ebay,6.60%
2,ebay.com,8.18E+08,23.66%,,3,apple,3.90%
3,Walmart.com,3.39E+08,9.81%,,4,walmart,3.70%
4,Etsy.com,1.20E+08,3.48%,,5,home depot,1.50%
5,Target.com,1.17E+08,3.40%,,6,best buy,1.30%
6,Aliexpress.com,4.33E+07,1.25%,,7,Quarte Retail Group,1.20%
7,Costco.com,4.21E+07,1.22%,,8,Macy,1.20%
8,Kohls.com,4.04E+07,1.17%,,9,Costco,1.20%
9,Wish.com,3.87E+07,1.12%,,10,Wayfair,1.10%
10,Sears.com,2.61E+07,0.76%,,,Share of total internet sales,70.80%
,other,3.50E+05,0.01%,,,Total internet sales,"USD 525,690,000,000.00"
,Total,3.46E+09,100.00%,,,,
