DATE,DSPIC96
2004-01-01,10461.0
2004-02-01,10479.2
2004-03-01,10522.1
2004-04-01,10566.2
2004-05-01,10623.7
2004-06-01,10632.7
2004-07-01,10654.4
2004-08-01,10685.5
2004-09-01,10690.7
2004-10-01,10697.8
2004-11-01,10670.2
2004-12-01,11066.7
2005-01-01,10669.4
2005-02-01,10673.8
2005-03-01,10711.8
2005-04-01,10745.9
2005-05-01,10795.0
2005-06-01,10818.5
2005-07-01,10821.3
2005-08-01,10835.1
2005-09-01,10798.2
2005-10-01,10877.4
2005-11-01,10967.9
2005-12-01,11025.5
2006-01-01,11137.0
2006-02-01,11176.3
2006-03-01,11196.8
2006-04-01,11191.5
2006-05-01,11186.7
2006-06-01,11214.0
2006-07-01,11204.8
2006-08-01,11201.5
2006-09-01,11272.7
2006-10-01,11330.6
2006-11-01,11374.6
2006-12-01,11418.3
2007-01-01,11429.1
2007-02-01,11472.6
2007-03-01,11512.3
2007-04-01,11511.4
2007-05-01,11504.4
2007-06-01,11486.6
2007-07-01,11496.2
2007-08-01,11504.7
2007-09-01,11532.1
2007-10-01,11513.9
2007-11-01,11500.4
2007-12-01,11542.1
2008-01-01,11553.7
2008-02-01,11551.7
2008-03-01,11547.0
2008-04-01,11500.7
2008-05-01,12051.9
2008-06-01,11733.0
2008-07-01,11548.3
2008-08-01,11482.4
2008-09-01,11514.3
2008-10-01,11576.8
2008-11-01,11664.4
2008-12-01,11605.8
2009-01-01,11646.8
2009-02-01,11526.6
2009-03-01,11523.2
2009-04-01,11626.7
2009-05-01,11819.2
2009-06-01,11624.0
2009-07-01,11570.1
2009-08-01,11540.6
2009-09-01,11562.2
2009-10-01,11512.6
2009-11-01,11544.2
2009-12-01,11607.5
2010-01-01,11608.6
2010-02-01,11606.4
2010-03-01,11644.3
2010-04-01,11741.3
2010-05-01,11835.7
2010-06-01,11856.6
2010-07-01,11876.2
2010-08-01,11910.7
2010-09-01,11899.0
2010-10-01,11916.3
2010-11-01,11942.6
2010-12-01,12026.9
2011-01-01,12076.4
2011-02-01,12106.2
2011-03-01,12069.3
2011-04-01,12047.0
2011-05-01,12034.6
2011-06-01,12091.0
2011-07-01,12126.4
2011-08-01,12113.1
2011-09-01,12091.2
2011-10-01,12112.8
2011-11-01,12110.5
2011-12-01,12220.2
2012-01-01,12311.0
2012-02-01,12385.4
2012-03-01,12429.3
2012-04-01,12477.1
2012-05-01,12487.5
2012-06-01,12498.7
2012-07-01,12410.1
2012-08-01,12362.6
2012-09-01,12422.5
2012-10-01,12516.4
2012-11-01,12693.1
2012-12-01,13016.3
2013-01-01,12266.8
2013-02-01,12205.2
2013-03-01,12223.9
2013-04-01,12271.9
2013-05-01,12342.2
2013-06-01,12355.0
2013-07-01,12341.5
2013-08-01,12368.7
2013-09-01,12418.7
2013-10-01,12386.0
2013-11-01,12425.3
2013-12-01,12464.3
2014-01-01,12532.0
2014-02-01,12618.0
2014-03-01,12693.3
2014-04-01,12725.5
2014-05-01,12760.6
2014-06-01,12811.7
2014-07-01,12854.8
2014-08-01,12915.5
2014-09-01,12950.4
2014-10-01,13001.2
2014-11-01,13055.5
2014-12-01,13138.9
2015-01-01,13205.4
2015-02-01,13251.2
2015-03-01,13223.3
2015-04-01,13286.9
2015-05-01,13331.7
2015-06-01,13364.8
2015-07-01,13404.2
2015-08-01,13446.6
2015-09-01,13470.3
2015-10-01,13475.7
2015-11-01,13447.7
2015-12-01,13490.7
2016-01-01,13546.5
2016-02-01,13561.7
2016-03-01,13578.5
2016-04-01,13551.9
2016-05-01,13538.2
2016-06-01,13534.4
2016-07-01,13571.6
2016-08-01,13583.4
2016-09-01,13623.7
2016-10-01,13654.5
2016-11-01,13688.5
2016-12-01,13713.1
2017-01-01,13772.9
2017-02-01,13832.9
2017-03-01,13900.3
2017-04-01,13875.3
2017-05-01,13932.5
2017-06-01,13921.6
2017-07-01,13961.7
2017-08-01,13987.9
2017-09-01,14009.2
2017-10-01,14046.8
2017-11-01,14060.8
2017-12-01,14090.2
2018-01-01,14185.7
2018-02-01,14212.5
2018-03-01,14261.3
2018-04-01,14259.7
2018-05-01,14274.3
2018-06-01,14312.0
2018-07-01,14336.4
2018-08-01,14374.0
2018-09-01,14385.7
