DATE,Value
2004-01-01,9144
2004-02-01,8770
2004-03-01,8834
2004-04-01,7837
2004-05-01,7792
2004-06-01,8616
2004-07-01,8518
2004-08-01,7940
2004-09-01,7545
2004-10-01,7531
2004-11-01,7665
2004-12-01,7599
2005-01-01,8444
2005-02-01,8549
2005-03-01,7986
2005-04-01,7335
2005-05-01,7287
2005-06-01,7870
2005-07-01,7839
2005-08-01,7327
2005-09-01,7259
2005-10-01,6964
2005-11-01,7271
2005-12-01,6956
2006-01-01,7608
2006-02-01,7692
2006-03-01,7255
2006-04-01,6804
2006-05-01,6655
2006-06-01,7341
2006-07-01,7602
2006-08-01,7086
2006-09-01,6625
2006-10-01,6272
2006-11-01,6576
2006-12-01,6491
2007-01-01,7649
2007-02-01,7400
2007-03-01,6913
2007-04-01,6532
2007-05-01,6486
2007-06-01,7295
2007-07-01,7556
2007-08-01,7088
2007-09-01,6952
2007-10-01,6773
2007-11-01,6917
2007-12-01,7371
2008-01-01,8221
2008-02-01,7953
2008-03-01,8027
2008-04-01,7287
2008-05-01,8076
2008-06-01,8933
2008-07-01,9433
2008-08-01,9479
2008-09-01,9199
2008-10-01,9469
2008-11-01,10015
2008-12-01,10999
2009-01-01,13009
2009-02-01,13699
2009-03-01,13895
2009-04-01,13248
2009-05-01,13973
2009-06-01,15095
2009-07-01,15201
2009-08-01,14823
2009-09-01,14538
2009-10-01,14547
2009-11-01,14407
2009-12-01,14740
2010-01-01,16147
2010-02-01,15991
2010-03-01,15678
2010-04-01,14609
2010-05-01,14369
2010-06-01,14885
2010-07-01,15137
2010-08-01,14759
2010-09-01,14140
2010-10-01,13903
2010-11-01,14282
2010-12-01,13997
2011-01-01,14937
2011-02-01,14542
2011-03-01,14060
2011-04-01,13237
2011-05-01,13421
2011-06-01,14409
2011-07-01,14428
2011-08-01,14008
2011-09-01,13520
2011-10-01,13102
2011-11-01,12613
2011-12-01,12692
2012-01-01,13541
2012-02-01,13430
2012-03-01,12904
2012-04-01,11910
2012-05-01,12271
2012-06-01,13184
2012-07-01,13400
2012-08-01,12696
2012-09-01,11742
2012-10-01,11741
2012-11-01,11404
2012-12-01,11844
2013-01-01,13181
2013-02-01,12500
2013-03-01,11815
2013-04-01,11014
2013-05-01,11302
2013-06-01,12248
2013-07-01,12083
2013-08-01,11462
2013-09-01,10885
2013-10-01,10773
2013-11-01,10271
2013-12-01,9984
2014-01-01,10855
2014-02-01,10893
2014-03-01,10537
2014-04-01,9079
2014-05-01,9443
2014-06-01,9893
2014-07-01,10307
2014-08-01,9787
2014-09-01,8962
2014-10-01,8680
2014-11-01,8630
2014-12-01,8331
2015-01-01,9498
2015-02-01,9095
2015-03-01,8682
2015-04-01,7966
2015-05-01,8370
2015-06-01,8638
2015-07-01,8805
2015-08-01,8162
2015-09-01,7628
2015-10-01,7597
2015-11-01,7573
2015-12-01,7542
2016-01-01,8309
2016-02-01,8219
2016-03-01,8116
2016-04-01,7413
2016-05-01,7207
2016-06-01,8144
2016-07-01,8267
2016-08-01,7996
2016-09-01,7658
2016-10-01,7447
2016-11-01,7066
2016-12-01,7170
2017-01-01,8149
2017-02-01,7887
2017-03-01,7284
2017-04-01,6555
2017-05-01,6572
2017-06-01,7250
2017-07-01,7441
2017-08-01,7287
2017-09-01,6556
2017-10-01,6242
2017-11-01,6286
2017-12-01,6278
2018-01-01,7189
2018-02-01,7091
2018-03-01,6671
2018-04-01,5932
2018-05-01,5756
2018-06-01,6812
2018-07-01,6730
2018-08-01,6370
2018-09-01,5766
2018-10-01,5771
